#序号,经度,纬度,航向角(度)
1,110.64726778,35.60611233,89.79
2,110.64741110,35.60611276,179.79
3,110.64741115,35.60610163,269.79
4,110.64726783,35.60610120,179.79
5,110.64726788,35.60609007,89.79
6,110.64741120,35.60609050,179.79
7,110.64741125,35.60607937,269.79
8,110.64726793,35.60607894,179.79
9,110.64726798,35.60606781,89.79
10,110.64741130,35.60606823,179.79
11,110.64741134,35.60605710,269.79
12,110.64726803,35.60605668,179.79
13,110.64726808,35.60604555,89.79
14,110.64741139,35.60604597,179.79
15,110.64741144,35.60603484,269.79
16,110.64726813,35.60603442,179.79
17,110.64726818,35.60602328,89.79
18,110.64741149,35.60602371,179.79
19,110.64741154,35.60601258,269.79
20,110.64726823,35.60601215,179.79
21,110.64726828,35.60600102,89.79
22,110.64741159,35.60600145,179.79
23,110.64741164,35.60599032,269.79
24,110.64726832,35.60598989,179.79
25,110.64726837,35.60597876,89.79
26,110.64741169,35.60597919,179.79
27,110.64741174,35.60596805,269.79
28,110.64726842,35.60596763,179.79
29,110.64726847,35.60595650,89.79
30,110.64741179,35.60595692,179.79
31,110.64741184,35.60594579,269.79
32,110.64726852,35.60594537,179.79
33,110.64726857,35.60593423,89.79
34,110.64741189,35.60593466,180.19
35,110.64741173,35.60589616,269.78
36,110.64726919,35.60589572,179.78
37,110.64726924,35.60588469,89.78
38,110.64741179,35.60588513,179.78
39,110.64741184,35.60587411,269.78
40,110.64726930,35.60587367,179.78
41,110.64726935,35.60586265,89.78
42,110.64741189,35.60586309,179.78
43,110.64741194,35.60585207,269.78
44,110.64726940,35.60585162,179.78
45,110.64726945,35.60584060,89.78
46,110.64741199,35.60584104,179.78
47,110.64741204,35.60583002,269.78
48,110.64726950,35.60582958,179.78
49,110.64726955,35.60581856,89.78
50,110.64741209,35.60581900,179.78
51,110.64741214,35.60580798,269.78
52,110.64726960,35.60580753,179.78
53,110.64726965,35.60579651,89.78
54,110.64741220,35.60579695,179.78
55,110.64741225,35.60578593,269.78
56,110.64726971,35.60578549,179.78
57,110.64726976,35.60577446,89.78
58,110.64741230,35.60577491,179.78
59,110.64741235,35.60576388,269.78
60,110.64726981,35.60576344,179.78
61,110.64726986,35.60575242,89.78
62,110.64741240,35.60575286,179.78
63,110.64741245,35.60574184,269.78
64,110.64726991,35.60574140,179.78
65,110.64726996,35.60573037,89.78
66,110.64741250,35.60573082,179.78
67,110.64741255,35.60571979,269.78
68,110.64727001,35.60571935,89.78
69,110.64741255,35.60571979,176.52
70,110.64741532,35.60568284,269.88
71,110.64726617,35.60568257,179.88
72,110.64726620,35.60567137,89.88
73,110.64741535,35.60567163,179.88
74,110.64741538,35.60566043,269.88
75,110.64726623,35.60566016,179.88
76,110.64726626,35.60564896,89.88
77,110.64741541,35.60564922,179.88
78,110.64741544,35.60563802,269.88
79,110.64726629,35.60563775,179.88
80,110.64726632,35.60562655,89.88
81,110.64741547,35.60562681,179.88
82,110.64741550,35.60561561,269.88
83,110.64726635,35.60561534,179.88
84,110.64726638,35.60560414,89.88
85,110.64741553,35.60560440,179.88
86,110.64741556,35.60559319,269.88
87,110.64726640,35.60559293,179.88
88,110.64726643,35.60558173,89.88
89,110.64741559,35.60558199,179.88
90,110.64741562,35.60557078,269.88
91,110.64726646,35.60557052,179.88
92,110.64726649,35.60555931,89.88
93,110.64741565,35.60555958,179.88
94,110.64741568,35.60554837,269.88
95,110.64726652,35.60554811,179.88
96,110.64726655,35.60553690,89.88
97,110.64741571,35.60553717,179.88
98,110.64741574,35.60552596,269.88
99,110.64726658,35.60552570,179.88
100,110.64726661,35.60551449,89.88
101,110.64741577,35.60551476,179.88
102,110.64741580,35.60550355,269.88
103,110.64726664,35.60550329,89.88
104,110.64741580,35.60550355,89.88
